GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2015091000,2015-09-10,2,2,0,,PIT,0,0,0,,1,,0,"TWO-MINUTE WARNING",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091300,2015-09-13,3,4,50,,GB,0,0,0,,1,,0,"TIMEOUT AT 04:50.",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091300,2015-09-13,4,0,0,,GB,0,0,0,,1,,0,"END GAME",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091301,2015-09-13,2,2,0,,SEA,0,0,0,,1,,0,"TWO-MINUTE WARNING",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091302,2015-09-13,1,0,0,,CAR,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091303,2015-09-13,2,9,48,WAS,MIA,2,2,20,,1,,0,"(9:48) 46-A.MORRIS LEFT TACKLE TO WAS 24 FOR 4 YARDS (55-K.MISI).",0,,,2015,4,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT TACKLE",20,OWN,0,,0,,0
2015091303,2015-09-13,2,9,13,WAS,MIA,1,10,24,,1,,0,"(9:13) 8-K.COUSINS PASS DEEP MIDDLE TO 88-P.GARCON TO WAS 46 FOR 22 YARDS (24-BR.MCCAIN).",0,,,2015,22,"UNDER CENTER",PASS,0,1,0,0,"DEEP MIDDLE",0,0,0,,0,0,0,0,0,0,,24,OWN,0,,0,,0
2015091303,2015-09-13,4,2,33,WAS,MIA,2,11,76,,0,,0,"(2:33) (SHOTGUN) 8-K.COUSINS PASS SHORT LEFT TO 86-J.REED PUSHED OB AT MIA 20 FOR 4 YARDS (31-M.THOMAS).",0,,,2015,4,SHOTGUN,PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,24,OPP,0,,0,,0
2015091304,2015-09-13,1,4,57,BUF,IND,2,20,37,,0,,0,"(4:57) 5-T.TAYLOR PASS INCOMPLETE SHORT RIGHT TO 42-J.FELTON. THROWN UNDER PRESSURE FROM T.COLE; OFF RECEIVER'S HANDS AT BUF 37.",0,,,2015,0,"UNDER CENTER",PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,37,OWN,0,,0,,0
2015091304,2015-09-13,2,12,24,,IND,0,0,0,,1,,0,"TIMEOUT #1 BY IND AT 12:24.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
