"gameid","gamedate","quarter","minute","second","offenseteam","defenseteam","down","togo","yardline","scorediff","seriesfirstdown","scorechange","nextscore","description","teamwin","offensescore","defensescore","seasonyear","yards","formation","playtype","isrush","ispass","isincomplete","istouchdown","passtype","issack","ischallenge","ischallengereversed","challenger","ismesurement","isinterception","isfumble","ispenalty","penalizedplayer","istwopointconversion","istwopointconversionsuccessful","rushdirection","yardlinefixed","yardlinedirection","playid","ispreseason","ispenaltyaccepted","penaltyteam","isnoplay","penaltytype","penaltyyards"
2016091112,2016-09-11,1,4,57,NE,ARI,3,9,30,0,0,0,0,"(4:57) (SHOTGUN) PENALTY ON ARI-90-R.NKEMDICHE, NEUTRAL ZONE INFRACTION, 5 YARDS, ENFORCED AT NE 30 - NO PLAY.",0,0,0,2016,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,0,1,,0,0,,30,OWN,703.00,0,1,ARI,1,NEUTRAL ZONE INFRACTION,5
2016091112,2016-09-11,1,4,57,NE,ARI,3,4,35,0,1,0,0,(4:57) 28-J.WHITE UP THE MIDDLE TO NE 39 FOR 4 YARDS (51-K.MINTER).,0,0,0,2016,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,,0,0,CENTER,35,OWN,726.00,0,0,,0,,0
2016091112,2016-09-11,1,1,56,NE,ARI,2,10,64,0,0,0,0,(1:56) 11-J.EDELMAN LEFT END TO ARI 29 FOR 7 YARDS (22-T.JEFFERSON).,0,0,0,2016,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,,0,0,LEFT END,36,OPP,859.00,0,0,,0,,0
2016091112,2016-09-11,1,3,50,NE,ARI,1,10,52,0,0,0,0,"(3:50) (SHOTGUN) 10-J.GAROPPOLO PASS SHORT RIGHT TO 11-J.EDELMAN TO ARI 45 FOR 3 YARDS (32-T.MATHIEU, 92-F.RUCKER).",0,0,0,2016,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,,0,0,,48,OPP,768.00,0,0,,0,,0
2016091112,2016-09-11,1,11,47,NE,ARI,1,10,26,0,0,0,0,(11:47) (SHOTGUN) 10-J.GAROPPOLO PASS INCOMPLETE SHORT RIGHT TO 15-C.HOGAN.,0,0,0,2016,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,,0,0,,26,OWN,241.00,0,0,,0,,0
2016091112,2016-09-11,1,8,47,NE,ARI,2,8,49,0,1,0,0,(8:47) (SHOTGUN) 10-J.GAROPPOLO PASS SHORT LEFT TO 11-J.EDELMAN PUSHED OB AT ARI 43 FOR 8 YARDS (22-T.JEFFERSON).,0,0,0,2016,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,,0,0,,49,OWN,386.00,0,0,,0,,0
2016091112,2016-09-11,1,7,42,NE,ARI,2,4,63,0,1,0,0,"(7:42) 10-J.GAROPPOLO PASS DEEP LEFT TO 15-C.HOGAN FOR 37 YARDS, TOUCHDOWN.",0,0,0,2016,37,UNDER CENTER,PASS,0,1,0,1,DEEP LEFT,0,0,0,,0,0,0,0,,0,0,,37,OPP,431.00,0,0,,0,,0
2016091112,2016-09-11,1,11,41,NE,ARI,2,10,26,0,0,0,0,(11:41) 11-J.EDELMAN RIGHT END TO NE 26 FOR NO GAIN (20-D.BUCANNON).,0,0,0,2016,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,,0,0,RIGHT END,26,OWN,263.00,0,0,,0,,0
2016091112,2016-09-11,1,2,40,NE,ARI,3,5,57,0,1,0,0,(2:40) (SHOTGUN) 10-J.GAROPPOLO PASS SHORT RIGHT TO 28-J.WHITE TO ARI 36 FOR 7 YARDS (32-T.MATHIEU).,0,0,0,2016,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,,0,0,,43,OPP,813.00,0,0,,0,,0
2016091112,2016-09-11,1,5,40,NE,ARI,1,10,29,0,0,0,0,(5:40) 29-L.BLOUNT RIGHT TACKLE TO NE 30 FOR 1 YARD (20-D.BUCANNON).,0,0,0,2016,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,,0,0,RIGHT TACKLE,29,OWN,660.00,0,0,,0,,0
2016091112,2016-09-11,1,7,34,NE,ARI,0,0,85,0,1,0,0,"3-S.GOSTKOWSKI EXTRA POINT IS GOOD, CENTER-49-J.CARDONA, HOLDER-6-R.ALLEN.",0,0,0,2016,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,,15,OPP,452.00,0,0,,0,,0
2016091112,2016-09-11,1,7,34,NE,ARI,0,0,35,0,1,0,0,3-S.GOSTKOWSKI KICKS 65 YARDS FROM NE 35 TO ARI 0. 38-A.ELLINGTON TO ARI 11 FOR 11 YARDS (31-J.JONES).,0,0,0,2016,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,,35,OWN,483.00,0,0,,0,,0
2016091112,2016-09-11,1,9,30,NE,ARI,1,10,47,0,0,0,0,(9:30) (SHOTGUN) 29-L.BLOUNT UP THE MIDDLE TO NE 49 FOR 2 YARDS (93-C.CAMPBELL).,0,0,0,2016,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,,0,0,CENTER,47,OWN,365.00,0,0,,0,,0
2016091112,2016-09-11,1,10,29,NE,ARI,1,10,37,0,0,0,0,"(10:29) 29-L.BLOUNT RIGHT END TO NE 39 FOR 2 YARDS (22-T.JEFFERSON). PENALTY ON NE-75-T.KARRAS, OFFENSIVE HOLDING, 9 YARDS, ENFORCED AT NE 37 - NO PLAY.",0,0,0,2016,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,1,,0,0,RIGHT END,37,OWN,308.00,0,1,NE,1,OFFENSIVE HOLDING,9
2016091112,2016-09-11,1,4,27,NE,ARI,1,10,39,0,1,0,0,(4:27) 29-L.BLOUNT UP THE MIDDLE TO ARI 48 FOR 13 YARDS (27-T.BRANCH).,0,0,0,2016,13,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,,0,0,CENTER,39,OWN,747.00,0,0,,0,,0
2016091112,2016-09-11,1,8,23,NE,ARI,1,10,57,0,0,0,0,(8:23) 29-L.BLOUNT RIGHT TACKLE TO ARI 37 FOR 6 YARDS (51-K.MINTER).,0,0,0,2016,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,,0,0,RIGHT TACKLE,43,OPP,410.00,0,0,,0,,0
2016091112,2016-09-11,1,3,18,NE,ARI,2,7,55,0,0,0,0,(3:18) 29-L.BLOUNT RIGHT TACKLE TO ARI 43 FOR 2 YARDS (22-T.JEFFERSON).,0,0,0,2016,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,,0,0,RIGHT TACKLE,45,OPP,792.00,0,0,,0,,0
2016091112,2016-09-11,1,6,12,NE,ARI,1,10,8,0,1,0,0,(6:12) (SHOTGUN) 10-J.GAROPPOLO PASS SHORT LEFT TO 28-J.WHITE TO NE 29 FOR 21 YARDS (51-K.MINTER).,0,0,0,2016,21,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,,0,0,,8,OWN,636.00,0,0,,0,,0
2016091112,2016-09-11,1,1,10,NE,ARI,3,3,71,0,0,0,0,(1:10) (SHOTGUN) 10-J.GAROPPOLO PASS INCOMPLETE SHORT LEFT TO 80-D.AMENDOLA (27-T.BRANCH).,0,0,0,2016,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,,0,0,,29,OPP,880.00,0,0,,0,,0
2016091112,2016-09-11,1,1,5,NE,ARI,4,3,71,0,0,0,0,"(1:05) 3-S.GOSTKOWSKI 47 YARD FIELD GOAL IS GOOD, CENTER-49-J.CARDONA, HOLDER-6-R.ALLEN.",0,0,0,2016,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,,29,OPP,902.00,0,0,,0,,0
